SMILES,CL
P(O[C@H]1[C@@H]([C@H]([C@H](O)[C@H](O1)CO)O)O)(=O)(NCCCl)NCCCl,1.6
C[C@@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCNC=N,3
C1CCCC(CC1)NC(P(=O)(O)O)P(=O)(O)O,2.16
C[C@@H]1CC(=O)NN=C1c2ccc(NN=C(C#N)C#N)cc2,3.8
CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,1
O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H](CO)O,1.2
COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C,8.4
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,6.9
C1(=O)N2[C@@H]([C@H]1[C@H](O)C)SC(COC(N)=O)=C2C(=O)[O-].[Na+],7.55
c1ccc(cc1)C[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N2)Cc3ccc(cc3)O)NC(=O)CNC(=O)CNC(=O)CN)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,8.2
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,3.3
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,0.31
[H]N(C1CCC(CC1)C(=O)O[H])C(C1(CCCC1)CC[C@@H](COCOC)C(=O)O[H])=O,2.3
CN(C)N=Nc1ccc(cc1)C(=O)O,1.3
CNC1=Nc2ccc(Cl)cc2C(=N(=O)C1)c3ccccc3,0.37
NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N2C=O)N1,5.8
N([C@H](C(O)=O)CS)C(N)=N,2.88
Cc1cc(O)c2C(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6C(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c56,0.13
COc1ccc(CN(CCC(=O)O)C(=O)CNC(=O)Cc2ccc(NC(=O)Nc3ccccc3C)c(OC)c2)cc1OC,11
CC1=C(C=C(C#N)C(=O)N1)c2ccncc2,6.2
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O,1.5
C1CC[C@@H]2C[C@H](N([C@@H]2C1)C([C@H](C)N[C@@H](CCc1ccccc1)C(OCC)=O)=O)C(=O)O,12.5
C[C@H]1CCc2c3n1cc(c(=O)c3cc(c2N4CCC(CC4)O)F)C(=O)O,0.54
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O,2.5
C([S@@](CCCC)(=N)=O)C[C@@H](C(O)=O)N,2.28
N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1,1.5
CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(=O)O,5.8
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,2.8
N1(C)C([C@H](NC([C@@H](NC(CNC([C@H](CCCNC(N)=N)NC([C@@H]1C(C)C)=O)=O)=O)CC(=O)O)=O)Cc1ccccc1)=O,1.18
CC(=O)Nc1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,1.7
CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,8.7
C1[C@@H](C(=O)NCCCNC(N)=N)N(CCC1)C(=O)[C@H](NCC(=O)O)CC1CCCCC1,6.1
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1.4
S1([C@@]([C@@H](N2C(=O)C[C@@H]12)C(O)=O)(Cn1ccnn1)C)(=O)=O,4.81
N([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O[C@@H]2[C@@H](CC[C@@H](O2)[C@@H](C)N)N)[C@@H]1O)N)O)O)(C)C(CN)=O,1.37
N12[C@@H]([C@@H](NC([C@@H](c3ccc(O)cc3)NC([C@@H](CC(NC)=O)N)=O)=O)C2=O)SC(C)(C)[C@@H]1C(O)=O,2.82
O=S(=O)(c1ncc(cc1)C)Nc1nc(c2ccncc2)nc(c1Oc1ccccc1OC)OC,0.52
C([C@H]1N(CCC1)C([C@@H](Cc1ccccc1)N)=O)(=O)N[C@H](C(N1[C@H](C(=O)NCC(=O)NCC(NCC(=O)NCC(=O)N[C@H](C(NCC(=O)N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C(N[C@H](C(N[C@@H](Cc2ccc(O)cc2)C(N[C@@H](CC(C)C)C(=O)O)=O)=O)CCC(O)=O)=O)CCC(O)=O)[C@H](CC)C)=O)CCC(O)=O)=O)CCC(O)=O)=O)Cc2ccccc2)=O)CC(O)=O)=O)CC(=O)N)=O)CCC1)=O)CCCNC(N)=N,8.1
[H]N([H])C(C12CC[N+](CC1)(CC2)CC1CSC2[C@@H](C(N2C=1C(=O)O[H])=O)N([H])C(C(c1nc(N([H])[H])sn1)=NOC)=O)=O,1.7
Nc1nc(ns1)\C(=N\O)\C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)\C=C\4/CCN([C@@H]5CCNC5)C4=O,1.5
CCN(CC)C(=O)\C(=C\c1cc(O)c(O)c(c1)N(=O)=O)\C#N,12
O=C1C[N]23CC[N]45CC(=O)[O-][Gd+3]2424([O-]1)([O-]C(=O)C5)[O-]C(=O)C[N]2(CC3)CC(=O)[O-]4,1.94
CC[N+](CC)(CC)CCOc1cccc(c1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,1.51
Cc1ccc(cc1)S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@]([C@H]2O)(C3(C)C)C,0.34
C(=O)([C@@H](NC(=O)c1ccc(cc1)NC[C@@H]1N(c2c(=O)nc([nH]c2NC1)N)C=O)CCC(=O)O)O,4.1
COc1cc2CC[N+](C)(CCCOC(=O)CC\C=C\CCC(=O)OCCC[N+]3(C)CCc4cc(OC)c(OC)cc4C3Cc5cc(OC)c(OC)c(OC)c5)C(Cc6cc(OC)c(OC)c(OC)c6)c2cc1OC,5.2
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4ccccc4)C(=O)C1=O,4
Cn1cc(NC(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4ccc5cc(cc(c5c4)S(=O)(=O)O)S(=O)(=O)O)n(C)c3)n(C)c2)cc1C(=O)Nc6cc(C(=O)Nc7ccc8cc(cc(c8c7)S(=O)(=O)O)S(=O)(=O)O)n(C)c6,0.0047
C(c1c(cc(cc1)CC(=O)N[C@@H](CC(C)C)c1c(cccc1)N1CCCCC1)OCC)(=O)O,2.04
OC(=O)CCNC(=O)c1ccccc1,9.2
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[N+]3(C)CCCC3)\c4csc(N)n4,2.2
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)\c3csc(N)n3,1.9
C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F)C(=O)NC2=O,11
C(O)[C@@]12[C@H](C3=CC[C@H]4[C@@]([C@@]3(C[C@H]2O)C)(C)CC[C@@H]2[C@]4(C)CC[C@@H]([C@@]2(CO)C)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@@H](O)[C@@H]([C@H](O2)C(=O)O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)CC([C@H]([C@@H]1OC(=O)C)OC(=O)/C(=C/C)/C)(C)C,1.65
C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,1.9
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c2nc3ccccc3[nH]2,4.4
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,1.7
COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cn3)C(C)C)nc(nc2OCCO)c4ccnc(c4)c5nnn[nH]5,8.1
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,36
COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,2.1
NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)O)C3=O)C(=O)[O-])cc1,1.96
NC(=N)c1ccc(cc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N3CCC(CC3)OCC(=O)O,1.9
c1ccc2c(c1)c(ccc2n3c(nnc3Br)SCC(=O)O)C4CC4,1.43
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,0.55
B1([C@H](CC[C@H](O1)CC(=O)O)NC(=O)Cc2cccs2)O,2.94
OS(=O)(=O)CCCNC(=O)C,3.75
CNC(=O)c1cccc2c(Nc3ccc(NS(=O)(=O)C)cc3OC)c4cccc(C)c4nc12,2.6
N1(CCc2c(C1=O)n(nc2C(=O)N)c1ccc(cc1)OC)c1ccc(cc1)N1CCCCC1=O,0.8
CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]1ccc(N)n1CCO)c1csc(n1)N,1.77
NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)N,1.4
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,3.9
COc1cc(cc(OC)c1O)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4N(C)C)c6cc7OCOc7cc26,0.4
CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O[C@H]6C[C@](C)(N)[C@@H](O)[C@H](C)O6)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC1=O)c8ccc(O)c(c8)c9c(O)cc(O)cc9[C@H](NC7=O)C(=O)O)c3O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O[C@H]%11C[C@](C)(NCc%12ccc(cc%12)c%13ccc(Cl)cc%13)[C@@H](O)[C@H](C)O%11)c(Cl)c2,0.07
CC(Oc1ccccc1)C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O,4.2
CCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,2.33
O=C(C(C(Cl)=CC=C1)=C1C)N[C@H](C(O)=O)CC2=CC=C(NC(C(C(Cl)=CN=C3)=C3Cl)=O)C=C2,3.7
C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C(=O)O)SCCOC(=O)N,7.5
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0.02
Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1,0.36
c1(cc2c(cc1)[C@@H](c1c(cccc1)N(S2(=O)=O)C)NCCCCCCC(O)=O)Cl,2.8
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(=O)C)[N+]5(C)CCCCC5)[C@@]2(C)C[C@@H]1N6CCCCC6,4.5
CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccccc3)\c4csc(N)n4)C(=O)O,2.4
O=C([C@H](CSCCCC(N[C@@H](C1=O)CC2=CC=CC=C2)=O)NC([C@@H](NC([C@@](C)(NC([C@@H](N1)CC3=CC=CS3)=O)CC)=O)CC(N)=O)=O)N(C[C@H](O)C4)[C@@H]4C(N[C@@H](C(NCC(N)=O)=O)CCCNC(N)=N)=O,0.87
NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C(=O)N5CCN(CC5)c6ccncc6,2.6
C1[C@H](N(CS1)C([C@@H]1CCC(N1)=O)=O)C(O)=O,1.16
N(Nc1nccnc1)=O,15.13
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C@@H](O)[C@H](O)[C@H]3O,2.2
OC\C=C/1\C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C5=CN6[C@H]7C(=CN([C@H]35)c8ccccc48)[C@H]9C[C@H]%10[C@@]7(CC[N@@+]%10(CC=C)C/C/9=C/CO)c%11ccccc6%11,1.3
c1(cc(nc2n1ncc2CC)N1[C@@H](CCCC1)CCO)NCc1cn(=O)ccc1,4.65
C[C@@H]1O[C@@H]1P(=O)(O)O,2
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,1.3
COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O,6.6
c12c(C(C(C)=C(C1=O)C\C=C(\CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C)=O)cccc2,1.6
CC1(C)C(N2C(CC2=O)S1(=O)=O)C(=O)O,5.1
C(P(O)(O)=O)(P(O)(O)=O)(CCCN)O,2.6
Nc1ccc(O)c(c1)C(=O)O,9.3
COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c1c2ccc(F)cc2)C(C)C,2.9
N12[C@@]([C@H]3N(CCC3)C([C@@H]1Cc1ccccc1)=O)(O[C@](NC([C@@H]1C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3[N@@](C1)C)=O)(C)C2=O)O,15.07
CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@@H](CC[C@H]3N)[C@@H](C)N)[C@@H]2O)OC[C@]1(C)O,1
O[C@H]1[C@@H](O[C@@H]([C@@H]([C@@H]1O)O)CO)n1c(=O)[nH]c(=O)c(c1)F,1.38
[H]N(C(CP(=O)(O[H])O[H])=O)[C@@H](CC(=O)O[H])C(=O)O[H],1.22
Cl.O=C(N1[C@@H](CCC1)C(=O)NC(C)(C)C)[C@H]1N(CCC1)C(=O)[C@@H](N(C(=O)[C@@H](NC(=O)[C@@H](N(C)C)C(C)C)C(C)C)C)C(C)C,9.6
CCC(=O)NC[C@@H]1C[C@H]1c2cccc3c2CCO3,9.04
CCCC1=CC(=O)NC(=S)N1,3.1
"C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](Cc1ccc(O)cc1)N)=O)C)=O)CC(O)=O)=O)C)=O)[C@@H](CC)C)=O)C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](Cc1ccc(O)cc1)C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CCCNC(N)=N)C(N)=O)=O)CO)=O)CCSC)=O)[C@@H](CC)C)=O)CC(O)=O)=O)CCC(N)=O)=O)CC(C)C)=O)CC(C)C)=O)CCCCN)=O)CCCNC(N)=N)=O)C)=O)CO)=O)CC(C)C)=O)CCC(N)=O)=O)=O)CC(C)C)=O)C(C)C)=O)CCCCN)=O)CCCNC(N)=N)=O)=O)CO)=O)CC(N)=O)=O)[C@@H](C)O)=O)c1ccccc1
",39.3
CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O,0.78
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,3
[C@H]1(C(=C(C(=O)O1)O)O)[C@H](CO)O,1.05
c1cc(ccc1C(=O)O)NC(=O)NCCN2CCN=C2c3ccncc3,1.67
c1c2c(c(c(c1F)N3CC(C3)O)Cl)n(cc(c2=O)C(=O)O)c4c(cc(c(n4)N)F)F,2.33
c1(cn[nH]c1)C,0.73
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@@H]([C@@H]4OC(=O)C)N5CC[N+](C)(C)CC5)[C@@]2(C)C[C@@H]1N6CC[N+](C)(C)CC6,3
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(=O)O,7.8
[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)CC2)C)CC[C@]2([C@H]1CC[C@@H]2O)C,24.5
c1c(cn(c1C(=O)NCC/N=C(/N)N)C)NC(=O)c1n(cc(c1)NC(=O)c1cc(cn1C)NC(=O)c1cc(cn1C)NC(=O)C(=C)Br)C,5.15
NC(=N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C4CC4)C1,6.4
CC(=O)Nc1nnc(s1)S(=O)(=O)N,0.65
CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,6.3
O=C1CN(\N=C\c2oc(cc2)c3ccc(cc3)N(=O)=O)C(=O)N1,0.43
C(C1CCCC1)(c1ccccc1)(C(=O)OC1C[N+](CC1)(C)C)O.[Br-],16.8
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(=C/CCCC(=O)O)\C[C@H]12,16
CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4nnn[nH]4,8.2
CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(=O)C)C(=O)O,4.8
Cc1ccc(cc1C(c2c(cc(cc2C)C(=O)O)C)O)n3ccnc3,2.91
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,1.6
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,5.7
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6,2
C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC(=O)O)CC(=O)O)C)CCC(=O)N)C(C)C)Cc3ccccc3)CC(=O)O)CO)NC(=O)[C@@H](NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)Cc5ccc(cc5)O)CC(=O)N)CC(=O)O)CCCCN)CCCNC(=N)N)CCCNC(=N)N,68.11
n1(Cc2ccc(cc2)F)c(N2CCC(CC2)N(C)c2nccc([nH]2)=O)nc2c1cccc2,1.03
OC(C(O)CC1=CC(O)=C(O)C=C1)=O,17.75
NC[C@@H]1CC[C@H](CC1)C(=O)O,2.4
NCCCCCC(=O)O,2.5
CC(C)C[C@H](NC(=O)[C@@H](CCCNC(=O)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(=O)N,1.2
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C/C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)/C,16
[H]N(Cc1cccnc1)C1=C(C#N)C(N=C(C)N1[H])=O,5.8
[H]Oc1cc(C)c(C(=O)O[C@H]2CO[C@]3(C4[C@H]2OCO4)O[C@@H]2CO[C@@H]([C@@H]([C@H]2O3)O[H])O[C@@H]2[C@H]([C@@H]([C@H]([C@H](COC)O2)O[C@H]2[C@@H]([C@H]([C@H]([C@@H](C)O2)OC)O[C@@H]2[C@@H]([C@]3(C)[C@H]([C@@H](C)O2)O[C@]2(C[C@H]([C@@H]([C@@H](C)O2)O[C@@H]2C[C@@H]([C@H]([C@H](C)O2)OC(c2c(C)c(c(c(c2OC)[Cl])O[H])[Cl])=O)O[C@H]2C[C@](C)([C@H]([C@@H](C)O2)OC)[N+]([O-])=O)O[H])O3)O[H])O[H])O[H])OC)c(c1)O[H],0.61
c1nc2c(nc(nc2n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N/N=C/C4CCCCC4)N,35.8
C([N+](C)(C)C)[C@@H](CC(=O)[O-])O,1.6
COc1ccc2C[C@@H]3c4c(CC[N+]3(C)C)cc(OC)c(OC)c4Oc5ccc(C[C@H]6c7cc(Oc1c2)c(OC)cc7CC[N+]6(C)C)cc5,1.2
Cc1ncc(N(=O)=O)n1CCO,0.85
CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC)CC2)C(=O)OC,37
CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H](Cc6c[nH]cn6)NC(=O)[C@@H]7CCC(=O)N7)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N8CCC[C@H]8C(=O)NCC(=O)N,2.67
C1C(CCN(C1)CCCC(c1ccc(C(C(=O)O)(C)C)cc1)=O)OC(c1ccccc1)c1ccccc1,0.4
C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C3C[C@@H](O)C[C@H](O)C3)\CCC[C@]12C,0.89
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,6.8
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,15.3
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@H](O[C@H]5[C@H](O)[C@H]4O)c6cccs6)c7cc8OCOc8cc27,0.19
c1ccc(c(\C=N\NC(N)=S)n1)N,2.65
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,3.7
[C@@H]12N(C(=O)[C@H](Cc3c4c([nH]c3)cccc4)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CCSSC[C@H](NC1=O)C(=O)N)CCCNC(=N)N)CC(=O)O)CCC2,2.88
CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,4.8
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13,16
c1(c[nH]c2c1cccc2)C[C@@H](C(N[C@@H](C(N[C@H](C(=O)N)CCCCN)=O)Cc1ccccc1)=O)NC([C@@H](NC([C@H](NC([C@H](Cc1[nH]cnc1)N)=O)Cc1c[nH]c2c1cccc2)=O)C)=O,3.1
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)NCCc2ccccc2)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C,1.6
C(C(C)C)CCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO,0.09
Cc1c2ccccc2oc1CN(C)C(=O)/C=C/c3cc4c(nc3)NC(=O)CC4,0.9
C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O,5.84
